"variant_name","country_code","year_week","new_cases","number_deaths"
Zeta,AT,"2020-21",265,1481
A.23.1+E484K,AT,"2020-22",195,1418
A.27,AT,"2020-22",195,1418
A.28,AT,"2020-22",195,1418
Alpha,AT,"2020-22",780,1418
AT.1,AT,"2020-22",195,1418
AV.1,AT,"2020-22",195,1418
B.1.1.318,AT,"2020-22",195,1418
B.1.1.519,AT,"2020-22",195,1418
B.1.214.2,AT,"2020-22",195,1418
B.1.526,AT,"2020-22",195,1418
B.1.616,AT,"2020-22",195,1418
B.1.617.3,AT,"2020-22",195,1418
B.1.620,AT,"2020-22",195,1418
B.1.640,AT,"2020-22",195,1418
Beta,AT,"2020-22",585,1418
C.1.2,AT,"2020-22",195,1418
C.16,AT,"2020-22",195,1418
C.36+L452R,AT,"2020-22",195,1418
Delta,AT,"2020-22",1170,1418
Epsilon,AT,"2020-22",195,1418
Eta,AT,"2020-22",195,1418
Gamma,AT,"2020-22",390,1418
Kappa,AT,"2020-22",195,1418
Lambda,AT,"2020-22",195,1418
Mu,AT,"2020-22",195,1418
Omicron,AT,"2020-22",1170,1418
Other,AT,"2020-22",195,1418
Theta,AT,"2020-22",195,1418
UNK,AT,"2020-22",195,1418
XD,AT,"2020-22",195,1418
XF,AT,"2020-22",195,1418
Zeta,AT,"2020-22",195,1418
A.23.1+E484K,AT,"2020-23",227,1490
A.27,AT,"2020-23",227,1490
A.28,AT,"2020-23",227,1490
